model,benchmark,task_count,samples_per_task,pass_at_16,ci95_low,ci95_high,pass_at_1,verifier,metrics_file
Qwen2.5-Coder-1.5B-Instruct,mbpp,500,64,0.6650813205039876,0.6283038458602922,0.7030719135502644,0.37765625,local_mbpp,/root/improving/runs/a6000_async_core-qwen1.5b-s43-0cc3538cf4_b64/base/evaluation.metrics.json
Qwen2.5-Coder-1.5B-Instruct,humanevalplus,164,16,0.8597560975609756,0.8048780487804879,0.9085365853658537,0.5487804878048781,official_evalplus,/root/improving/runs/matrix_qwen2p5_1p5b_humanevalplus_seed43_n16/base/evaluation.metrics.json
Qwen2.5-Coder-1.5B-Instruct,apps_intro,200,16,0.365,0.3,0.43,0.15125,native_adapted,/root/improving/runs/matrix_qwen2p5_1p5b_apps_intro_seed43_n16/base/evaluation.metrics.json
Qwen2.5-Coder-1.5B-Instruct,codecontests,165,16,0.006060606060606061,0.0,0.024242424242424242,0.0003787878787878788,native_adapted,/root/improving/runs/matrix_qwen2p5_1p5b_codecontests_seed43_n16/base/evaluation.metrics.json
Qwen2.5-Coder-1.5B-Instruct,livecodebench,200,16,0.22,0.165,0.28,0.0478125,native_adapted,/root/improving/runs/matrix_qwen2p5_1p5b_livecodebench_seed43_n16/base/evaluation.metrics.json
DeepSeek-Coder-6.7B-Instruct,mbpp,500,64,0.6747846100261747,0.6368505692785956,0.7139129541803942,0.46734375,local_mbpp,/root/improving/runs/a6000_scale_deepseek6_7b_plain_seed43_eval64_b32/base/evaluation.metrics.json
DeepSeek-Coder-6.7B-Instruct,humanevalplus,164,16,0.8780487804878049,0.8291158536585366,0.926829268292683,0.635670731707317,official_evalplus,/root/improving/runs/matrix_deepseek6_7b_humanevalplus_seed43_n16/base/evaluation.metrics.json
DeepSeek-Coder-6.7B-Instruct,apps_intro,200,16,0.505,0.44,0.57,0.2778125,native_adapted,/root/improving/runs/matrix_deepseek6_7b_apps_intro_seed43_n16/base/evaluation.metrics.json
DeepSeek-Coder-6.7B-Instruct,codecontests,165,16,0.06060606060606061,0.024242424242424242,0.09696969696969697,0.007196969696969697,native_adapted,/root/improving/runs/matrix_deepseek6_7b_codecontests_seed43_n16/base/evaluation.metrics.json
DeepSeek-Coder-6.7B-Instruct,livecodebench,200,16,0.225,0.17,0.285,0.0796875,native_adapted,/root/improving/runs/matrix_deepseek6_7b_livecodebench_seed43_n16/base/evaluation.metrics.json
Gemma-3-4B-IT,mbpp,500,64,0.5807040794076489,0.5364060115716996,0.6220586919751978,0.496375,local_mbpp,/root/improving/runs/model_swap_gemma3_4b_plain_seed43_b64/base/evaluation.metrics.json
Gemma-3-4B-IT,humanevalplus,164,16,0.7378048780487805,0.670579268292683,0.7987804878048781,0.6509146341463414,official_evalplus,/root/improving/runs/matrix_gemma3_4b_humanevalplus_seed43_n16/base/evaluation.metrics.json
Gemma-3-4B-IT,apps_intro,200,16,0.38,0.315,0.445,0.2234375,native_adapted,/root/improving/runs/matrix_gemma3_4b_apps_intro_seed43_n16/base/evaluation.metrics.json
Gemma-3-4B-IT,codecontests,165,16,0.030303030303030304,0.006060606060606061,0.06060606060606061,0.012121212121212121,native_adapted,/root/improving/runs/matrix_gemma3_4b_codecontests_seed43_n16/base/evaluation.metrics.json
Gemma-3-4B-IT,livecodebench,200,16,0.24,0.185,0.3,0.1578125,native_adapted,/root/improving/runs/matrix_gemma3_4b_livecodebench_seed43_n16_eager/base/evaluation.metrics.json
Qwen3-8B,mbpp,500,64,0.6237638673376608,0.5831082034739858,0.6659106236708965,0.52965625,local_mbpp,/root/improving/runs/model_swap_qwen3_8b_plain_seed43_b64/base/evaluation.metrics.json
Qwen3-8B,humanevalplus,164,16,0.9329268292682927,0.8902439024390244,0.9695121951219512,0.7671493902439024,official_evalplus,/root/improving/runs/matrix_qwen3_8b_humanevalplus_seed43_n16/base/evaluation.metrics.json
Qwen3-8B,apps_intro,200,16,0.51,0.44,0.58,0.30625,native_adapted,/root/improving/runs/matrix_qwen3_8b_apps_intro_seed43_n16/base/evaluation.metrics.json
Qwen3-8B,codecontests,165,16,0.05454545454545454,0.024242424242424242,0.09090909090909091,0.013257575757575758,native_adapted,/root/improving/runs/matrix_qwen3_8b_codecontests_seed43_n16/base/evaluation.metrics.json
Qwen3-8B,livecodebench,200,16,0.405,0.335,0.475,0.25375,native_adapted,/root/improving/runs/matrix_qwen3_8b_livecodebench_seed43_n16/base/evaluation.metrics.json
